question,answer,type
How was your delivery experience?,Overall experience rating and any comments,survey
Did you understand the ratecard and how much you will earn per delivery?,Confirm clarity on ratecard/earnings understanding,survey
Did you face any other issues at the store?,Note any store-related issues mentioned,survey
Why does my ID show inactive even though it is active?,"This usually means you need to reinstall the Zepto app; if that does not fix it, support will check if your ID was deactivated for another reason.",faq
Why was my ID suspended for 24 hours?,IDs get suspended for 24 hours for delay-related or delivery-marking violations. It reactivates automatically after 24 hours - raising multiple requests will not speed this up.,faq
"My ID is deactivated for BGV, what do I do?","You will need to submit a police clearance certificate (PCC) from your nearest police station. Once submitted and reviewed, your ID will be reactivated within 24 hours.",faq
Why was my ID permanently terminated?,"Permanent termination happens for serious policy violations like incorrect behavior with customers, self-orders, multiple device check-ins, or BGV red flags, and this decision is final and cannot be reversed.",faq
"My selfie verification keeps failing, why will it not get approved?","If your account already had one repeat selfie-limit violation and was reactivated once before, it cannot be reactivated again under any circumstances, regardless of image quality.",faq
How do I change my registered mobile number?,"Try updating it directly in the app first. If that does not work, contact support with your new number - it will be verified by calling the existing number before the change is processed.",faq
How do I update my bank account details?,"This is self-service in the app: go to Profile, then Documents, then Bank Account Details, then Change, complete a selfie verification, and update your details. You can only do this once a week.",faq
"I have not received my payout, what should I do?","Payouts happen every Tuesday, covering earnings from the previous Monday to Sunday week. If it has not arrived by then, share your transaction details with support and our operations team will track it once the transaction reference (UTR) is confirmed.",faq
"I paid cash to the store but it is not reflecting in my account, what now?","Please share a screenshot of the transaction with support. Once validated, it will reflect in your next payout, which comes every Tuesday for the previous Monday to Sunday week.",faq
"I need a bike, how do I get one?",Go to your profile details and look for the EV marketplace section. You can see nearby rental stores and the rental amount there.,faq
How do I change my store?,Go to support and click on store change - your store will be changed immediately.,faq
"When do I get paid, what is the payout cycle?","Payouts happen every Tuesday, covering all earnings from the previous Monday to Sunday week.",faq
"I don't understand the ratecard, how does it work?","Order Pay under the rate card is 15 rupees per km, split as 10 rupees per km Forward Pay plus 5 rupees per km Reverse Pay - so total order pay is distance in km times 15 rupees. There is a Minimum Base Pay of 15 rupees per order, so even a very short order still pays at least 15 rupees. On top of this, there are separate time-bound incentive rate cards - bonus slots shown live in the My Rate Cards section of the app - that give extra earnings for completing orders during specific windows, but these change day to day so the rider should check the app for today's live numbers.",faq
